type,slug,title,meta_description
page,,Home,"RAMAREA — the personal site of Tumisang Ramarea. Writing, photography, music, and reflections on a life lived across borders."
page,live,Live,"Stories, reflections, and blog posts from Tumisang Ramarea — an honest account of a life lived across continents."
page,live/blog,Blog,"Over 70 blog posts covering love, culture, identity, travel, friendship, and the human condition — raw and honest."
page,play,Play,"Creative work by Tumisang Ramarea — short fiction, poetry, photography, and music."
page,play/write,Writing,"Short stories and creative writing by Tumisang Ramarea, in English and Setswana."
page,work,Work,Professional work and projects by Tumisang Ramarea.
page,live/community,Connect,Get in touch with Tumisang Ramarea.
page,connect,Connect,"Find Tumisang Ikefuna-Ramarea on LinkedIn, X, YouTube, Facebook, TikTok, and PoemHunter — or explore the community of people who have shaped his journey."
page,live/my-story,My Story,"From Kanye, Botswana to UWC Costa Rica to Stanford — Tumisang Ikefuna-Ramarea's story, told in his own words across decades and continents."
page,work/portfolio,Professional Portfolio,"Product management across AI, AR, and Web3 — Tumisang Ikefuna-Ramarea's professional work spanning Stanford, Silicon Valley, and Botswana."
blog,2019-beginnings-and-endings,2019: Beginnings and Endings,"Five months from Stanford graduation, Tumisang reflects on how endings and beginnings are two sides of the same coin — and sits with the honest uncertainty of what comes next."
blog,24-back-to-my-roots,24: Back To My Roots,"A birthday reflection on delisting from social media, releasing the expectation of birthday wishes, and reconnecting with what truly matters at 24."
blog,28-lessons-for-28,28 Lessons for 28,"Twenty-eight lessons that ultimately distil into one: things will be fine. A meditation on loving boldly in the face of guaranteed loss, failure, and death."
blog,a-dinner-date,A Dinner Date,"After a family intervention about his love life, Tumisang cooks a traditional Botswana dinner — goat, morogo, and pap — for a romantic interest, and reflects on cultural identity and what he truly seeks in a partner."
blog,a-great-thank-you,A Great Thank You!,"Celebrating the end of over two decades of schooling, from Mafhikana Primary School in Kanye to a graduate degree at Stanford, with deep gratitude to those who made the journey possible."
blog,am-i-an-entrepreneur,Am I an Entrepreneur?,"A mid-flight journal entry questioning the relationship between Tumisang and entrepreneurship, sparked by three stickers outside the Stanford Technology Ventures Program office."
blog,and-there-was-light,And There Was Light!,"A breakthrough moment with Bayes' Theorem — not just as a mathematical formula, but as a framework for how any of us should update our beliefs in everyday life."
blog,around-the-world-in-14-days,Around the World in 14 Days,"A whirlwind 14-day itinerary spanning San Francisco, Miami, Washington DC, Rwanda, Uganda, and Kenya — from Emirates luxury to the MasterCard Foundation Scholars Summit."
blog,beginnings-endings-and-the-journey,"Beginnings, Endings, and the Journey","A new year, a driving license, an approaching Stanford graduation, and the end of five years of therapy — Tumisang holds multiple beginnings and endings at once, and reflects on learning to let go."
blog,beyond-white-supremacist-capitalistic-patriarchy,Beyond White Supremacist Capitalistic Patriarchy,"A candid reflection on the systems of oppression that harm us all, and a personal reckoning with what it means to resist them from the inside."
blog,coming-together,Coming Together,"A gratitude post marking the completion of a Masters degree at Stanford, fulfilling a commitment made in a journal over two years earlier."
blog,every-finish-line-is-the-beginning-of-a-new-race,"""Every Finish Line Is The Beginning Of A New Race""","A cold January hike at Foothills Park becomes the occasion for reflecting on resetting, starting over, and embracing the habit of new beginnings."
blog,fibre-internet-pricing-problem,Fibre Internet Pricing Problem,A look at the pricing challenges around fibre internet access in Botswana and what it means for connectivity and equity.
blog,food-is-joy,Food Is Joy,A celebration of food as one of life's great joys.
blog,fought-the-good-fight-finished-the-race-kept-the-faith,"""Fought the Good Fight, Finished the Race, Kept the Faith""","Turning 28 and entering a new seven-year life cycle, Tumisang reflects on the losses and curve balls that have forced a new chapter to begin."
